state,date,cases,deaths,cases_new,deaths_new,state_postal,state_fips,population
Alabama,2020-03-13,6,0,,,AL,01,4903185
Alabama,2020-03-14,12,0,6,0,AL,01,4903185
Alabama,2020-03-15,23,0,11,0,AL,01,4903185
Alabama,2020-03-16,29,0,6,0,AL,01,4903185
Alabama,2020-03-17,39,0,10,0,AL,01,4903185
Alabama,2020-03-18,51,0,12,0,AL,01,4903185
Alabama,2020-03-19,78,0,27,0,AL,01,4903185
Alabama,2020-03-20,106,0,28,0,AL,01,4903185
Alabama,2020-03-21,131,0,25,0,AL,01,4903185
Alabama,2020-03-22,157,0,26,0,AL,01,4903185
Alabama,2020-03-23,196,0,39,0,AL,01,4903185
Alabama,2020-03-24,242,0,46,0,AL,01,4903185
Alabama,2020-03-25,386,1,144,1,AL,01,4903185
Alabama,2020-03-26,538,3,152,2,AL,01,4903185
Alabama,2020-03-27,639,4,101,1,AL,01,4903185
Alabama,2020-03-28,720,4,81,0,AL,01,4903185
Alabama,2020-03-29,830,5,110,1,AL,01,4903185
Alabama,2020-03-30,947,11,117,6,AL,01,4903185
Alabama,2020-03-31,999,14,52,3,AL,01,4903185
Alabama,2020-04-01,1108,28,109,14,AL,01,4903185
Alabama,2020-04-02,1270,32,162,4,AL,01,4903185
Alabama,2020-04-03,1535,38,265,6,AL,01,4903185
Alabama,2020-04-04,1632,44,97,6,AL,01,4903185
Alabama,2020-04-05,1840,45,208,1,AL,01,4903185
Alabama,2020-04-06,2005,53,165,8,AL,01,4903185
Alabama,2020-04-07,2197,64,192,11,AL,01,4903185
Alabama,2020-04-08,2498,67,301,3,AL,01,4903185
Alabama,2020-04-09,2838,78,340,11,AL,01,4903185
Alabama,2020-04-10,3008,80,170,2,AL,01,4903185
Alabama,2020-04-11,3262,93,254,13,AL,01,4903185
Alabama,2020-04-12,3583,93,321,0,AL,01,4903185
Alabama,2020-04-13,3805,104,222,11,AL,01,4903185
Alabama,2020-04-14,3953,114,148,10,AL,01,4903185
Alabama,2020-04-15,4241,123,288,9,AL,01,4903185
Alabama,2020-04-16,4404,137,163,14,AL,01,4903185
Alabama,2020-04-17,4572,151,168,14,AL,01,4903185
Alabama,2020-04-18,4723,147,151,0,AL,01,4903185
Alabama,2020-04-19,4903,160,180,13,AL,01,4903185
Alabama,2020-04-20,5078,164,175,4,AL,01,4903185
Alabama,2020-04-21,5327,186,249,22,AL,01,4903185
Alabama,2020-04-22,5610,201,283,15,AL,01,4903185
