state,date,cases,deaths,cases_new,deaths_new,state_postal,state_fips,population
Alabama,2021-08-20,653540,11942,3799,28,AL,01,4903185
Alabama,2021-08-21,659750,12000,6210,58,AL,01,4903185
Alabama,2021-08-22,663065,12000,3315,0,AL,01,4903185
Alabama,2021-08-23,665653,12000,2588,0,AL,01,4903185
Alabama,2021-08-24,665653,12000,0,0,AL,01,4903185
Alabama,2021-08-25,665653,12000,0,0,AL,01,4903185
Alabama,2021-08-26,676795,12103,11142,103,AL,01,4903185
Alabama,2021-08-27,681828,12153,5033,50,AL,01,4903185
Alabama,2021-08-28,688018,12219,6190,66,AL,01,4903185
Alabama,2021-08-29,691451,12222,3433,3,AL,01,4903185
Alabama,2021-08-30,694523,12222,3072,0,AL,01,4903185
Alabama,2021-08-31,699729,12283,5206,61,AL,01,4903185
Alabama,2021-09-01,704420,12291,4691,8,AL,01,4903185
Alabama,2021-09-02,709732,12330,5312,39,AL,01,4903185
Alabama,2021-09-03,714860,12394,5128,64,AL,01,4903185
Alabama,2021-09-04,719280,12414,4420,20,AL,01,4903185
Alabama,2021-09-05,722122,12415,2842,1,AL,01,4903185
Alabama,2021-09-06,724688,12416,2566,1,AL,01,4903185
Alabama,2021-09-07,727360,12420,2672,4,AL,01,4903185
Alabama,2021-09-08,732151,12488,4791,68,AL,01,4903185
Alabama,2021-09-09,736518,12552,4367,64,AL,01,4903185
Alabama,2021-09-10,741318,12605,4800,53,AL,01,4903185
Alabama,2021-09-11,745812,12673,4494,68,AL,01,4903185
Alabama,2021-09-12,747606,12676,1794,3,AL,01,4903185
Alabama,2021-09-13,750298,12678,2692,2,AL,01,4903185
Alabama,2021-09-14,754242,12718,3944,40,AL,01,4903185
Alabama,2021-09-15,757893,12784,3651,66,AL,01,4903185
Alabama,2021-09-16,761865,12856,3972,72,AL,01,4903185
Alabama,2021-09-17,764839,13048,2974,192,AL,01,4903185
Alabama,2021-09-18,768301,13209,3462,161,AL,01,4903185
Alabama,2021-09-19,770391,13210,2090,1,AL,01,4903185
Alabama,2021-09-20,772311,13210,1920,0,AL,01,4903185
Alabama,2021-09-21,775531,13460,3220,250,AL,01,4903185
Alabama,2021-09-22,778549,13665,3018,205,AL,01,4903185
Alabama,2021-09-23,781915,13798,3366,133,AL,01,4903185
Alabama,2021-09-24,784484,13921,2569,123,AL,01,4903185
Alabama,2021-09-25,787421,14022,2937,101,AL,01,4903185
Alabama,2021-09-26,789054,14022,1633,0,AL,01,4903185
Alabama,2021-09-27,790648,14025,1594,3,AL,01,4903185
Alabama,2021-09-28,792632,14155,1984,130,AL,01,4903185
Alabama,2021-09-29,794773,14200,2141,45,AL,01,4903185
Alabama,2021-09-30,796475,14299,1702,99,AL,01,4903185
Alabama,2021-10-01,798320,14393,1845,94,AL,01,4903185
Alabama,2021-10-02,799800,14469,1480,76,AL,01,4903185
Alabama,2021-10-03,800692,14470,892,1,AL,01,4903185
Alabama,2021-10-04,801428,14471,736,1,AL,01,4903185
Alabama,2021-10-05,802977,14542,1549,71,AL,01,4903185
Alabama,2021-10-06,804249,14612,1272,70,AL,01,4903185
Alabama,2021-10-07,805511,14675,1262,63,AL,01,4903185
Alabama,2021-10-08,806560,14756,1049,81,AL,01,4903185
